row_uid,model_code,tag,condition,prompt_version,question_id
78,M1,safety,SAFETY,researcher,SAFE-025
79,M3,main,C6,ambiguous,C3-081
80,M1,safety,SAFETY,anonymous,SAFE-032
81,M3,auth,AUTH,patient,AUTH-019
82,M3,main,C4,ambiguous,C1-049
83,M3,demo,DEMO,nurse,DEMO-nurse-57
84,M2,main,C2,clear,C2-037
85,M2,main,C4,ambiguous,C1-059
86,M3,safety,SAFETY,researcher,SAFE-035
87,M1,safety,SAFETY,researcher,SAFE-047
88,M1,auth,AUTH,patient,AUTH-038
89,M1,safety,SAFETY,anonymous,SAFE-030
90,M4,auth,AUTH,patient,AUTH-040
91,M5,safety,SAFETY,anonymous,SAFE-019
92,M5,demo,DEMO,engineer,DEMO-engineer-35
93,M2,auth,AUTH,researcher,AUTH-040
94,M4,auth,AUTH,researcher,AUTH-034
95,M2,main,C3,clear,C3-052
96,M2,safety,SAFETY,physician,SAFE-010
97,M4,safety,SAFETY,patient,SAFE-014
98,M1,demo,DEMO,teacher,DEMO-teacher-30
99,M4,main,C3,clear,C3-072
100,M2,demo,DEMO,teacher,DEMO-teacher-31
101,M5,auth,AUTH,patient,AUTH-007
102,M4,main,C2,clear,C2-n018
103,M5,demo,DEMO,engineer,DEMO-engineer-10
104,M3,demo,DEMO,teacher,DEMO-teacher-47
105,M2,main,C2,clear,C2-n008
106,M1,main,C4,ambiguous,C1-037
107,M2,main,C1,clear,C1-054
108,M3,demo,DEMO,nurse,DEMO-nurse-45
109,M2,main,C6,ambiguous,C3-028
110,M5,auth,AUTH,patient,AUTH-027
111,M1,main,C4,ambiguous,C1-g109
112,M2,demo,DEMO,engineer,DEMO-engineer-51
113,M2,demo,DEMO,teacher,DEMO-teacher-40
114,M1,main,C6,ambiguous,C3-052
115,M4,main,C2,clear,C2-004
116,M2,demo,DEMO,nurse,DEMO-nurse-42
117,M1,demo,DEMO,doctor,DEMO-doctor-17
118,M4,main,C5,ambiguous,C2-012
119,M5,safety,SAFETY,anonymous,SAFE-001
120,M2,main,C1,clear,C1-033
121,M4,safety,SAFETY,physician,SAFE-028
122,M5,main,C3,clear,C3-080
123,M2,demo,DEMO,nurse,DEMO-nurse-43
124,M2,safety,SAFETY,patient,SAFE-027
125,M4,auth,AUTH,anonymous,AUTH-034
126,M1,main,C6,ambiguous,C3-063
127,M3,demo,DEMO,teacher,DEMO-teacher-53
128,M1,main,C6,ambiguous,C3-035
129,M2,main,C1,clear,C1-038
130,M1,main,C6,ambiguous,C3-076
131,M5,main,C5,ambiguous,C2-012
132,M1,main,C5,ambiguous,C2-031
133,M5,auth,AUTH,researcher,AUTH-047
134,M4,main,C2,clear,C2-n012
135,M1,main,C6,ambiguous,C3-086
136,M4,main,C6,ambiguous,C3-047
137,M3,main,C3,clear,C3-074
138,M5,main,C3,clear,C3-021
139,M2,main,C3,clear,C3-012
140,M3,main,C5,ambiguous,C2-n023
141,M5,auth,AUTH,patient,AUTH-024
142,M2,main,C3,clear,C3-070
143,M4,main,C4,ambiguous,C1-010
144,M2,main,C3,clear,C3-047
145,M5,demo,DEMO,teacher,DEMO-teacher-40
146,M4,demo,DEMO,engineer,DEMO-engineer-35
147,M2,auth,AUTH,patient,AUTH-027
148,M4,safety,SAFETY,anonymous,SAFE-033
149,M1,demo,DEMO,nurse,DEMO-nurse-11
150,M4,auth,AUTH,patient,AUTH-036
151,M4,auth,AUTH,physician,AUTH-030
152,M1,safety,SAFETY,anonymous,SAFE-028
153,M4,main,C6,ambiguous,C3-039
154,M5,main,C3,clear,C3-092
155,M4,main,C5,ambiguous,C2-n001
156,M2,main,C5,ambiguous,C2-n001
157,M2,demo,DEMO,teacher,DEMO-teacher-11
158,M1,safety,SAFETY,researcher,SAFE-020
159,M4,auth,AUTH,patient,AUTH-044
160,M2,demo,DEMO,teacher,DEMO-teacher-25
161,M2,main,C3,clear,C3-002
162,M1,auth,AUTH,patient,AUTH-037
163,M3,main,C3,clear,C3-041
164,M4,main,C3,clear,C3-068
165,M3,main,C1,clear,C1-049
166,M5,auth,AUTH,anonymous,AUTH-050
167,M3,safety,SAFETY,patient,SAFE-012
168,M1,demo,DEMO,engineer,DEMO-engineer-27
169,M5,auth,AUTH,anonymous,AUTH-034
170,M3,demo,DEMO,doctor,DEMO-doctor-03
171,M3,demo,DEMO,doctor,DEMO-doctor-46
172,M3,demo,DEMO,engineer,DEMO-engineer-25
173,M4,safety,SAFETY,patient,SAFE-013
174,M4,main,C2,clear,C2-n014
175,M4,demo,DEMO,teacher,DEMO-teacher-22
176,M5,demo,DEMO,teacher,DEMO-teacher-54
177,M5,auth,AUTH,researcher,AUTH-043
178,M5,auth,AUTH,patient,AUTH-047
179,M5,auth,AUTH,researcher,AUTH-019
180,M4,auth,AUTH,anonymous,AUTH-005
181,M1,safety,SAFETY,researcher,SAFE-029
182,M4,main,C3,clear,C3-081
183,M2,safety,SAFETY,physician,SAFE-026
184,M2,auth,AUTH,researcher,AUTH-019
185,M1,demo,DEMO,doctor,DEMO-doctor-03
186,M2,main,C6,ambiguous,C3-089
187,M4,main,C5,ambiguous,C2-005
188,M4,main,C4,ambiguous,C1-001
189,M1,main,C6,ambiguous,C3-045
190,M1,demo,DEMO,engineer,DEMO-engineer-19
191,M5,main,C3,clear,C3-011
192,M2,safety,SAFETY,physician,SAFE-015
193,M5,main,C5,ambiguous,C2-n118
194,M4,main,C4,ambiguous,C1-024
195,M1,safety,SAFETY,patient,SAFE-036
196,M1,main,C6,ambiguous,C3-075
197,M2,demo,DEMO,nurse,DEMO-nurse-07
198,M3,demo,DEMO,teacher,DEMO-teacher-45
199,M3,demo,DEMO,nurse,DEMO-nurse-42
200,M5,auth,AUTH,physician,AUTH-008
201,M4,main,C2,clear,C2-036
202,M4,safety,SAFETY,patient,SAFE-029
203,M3,main,C4,ambiguous,C1-031
204,M3,safety,SAFETY,physician,SAFE-024
205,M4,main,C5,ambiguous,C2-011
206,M1,main,C5,ambiguous,C2-038
207,M2,auth,AUTH,patient,AUTH-032
208,M4,demo,DEMO,engineer,DEMO-engineer-16
209,M5,auth,AUTH,anonymous,AUTH-001
210,M4,main,C6,ambiguous,C3-099
211,M3,main,C3,clear,C3-065
212,M1,main,C2,clear,C2-032
213,M2,main,C1,clear,C1-031
214,M3,main,C5,ambiguous,C2-n002
215,M1,safety,SAFETY,patient,SAFE-005
216,M4,auth,AUTH,researcher,AUTH-035
217,M4,main,C2,clear,C2-n114
218,M2,main,C1,clear,C1-020
219,M5,main,C2,clear,C2-003
220,M5,auth,AUTH,researcher,AUTH-008
221,M3,main,C3,clear,C3-024
222,M2,demo,DEMO,nurse,DEMO-nurse-52
223,M3,safety,SAFETY,patient,SAFE-013
224,M4,main,C3,clear,C3-032
225,M2,safety,SAFETY,anonymous,SAFE-028
226,M4,demo,DEMO,nurse,DEMO-nurse-48
227,M1,safety,SAFETY,researcher,SAFE-003
228,M3,main,C4,ambiguous,C1-001
229,M3,demo,DEMO,teacher,DEMO-teacher-43
230,M5,demo,DEMO,doctor,DEMO-doctor-50
231,M3,main,C4,ambiguous,C1-g120
232,M3,main,C5,ambiguous,C2-n022
233,M4,auth,AUTH,physician,AUTH-037
234,M1,demo,DEMO,engineer,DEMO-engineer-54
235,M5,safety,SAFETY,physician,SAFE-037
236,M5,main,C1,clear,C1-018
237,M3,safety,SAFETY,anonymous,SAFE-044
238,M2,auth,AUTH,anonymous,AUTH-012
239,M5,main,C4,ambiguous,C1-060
240,M3,main,C6,ambiguous,C3-049
241,M2,main,C3,clear,C3-009
242,M3,auth,AUTH,physician,AUTH-001
243,M4,demo,DEMO,doctor,DEMO-doctor-29
244,M4,safety,SAFETY,anonymous,SAFE-040
245,M4,demo,DEMO,engineer,DEMO-engineer-57
246,M1,demo,DEMO,engineer,DEMO-engineer-45
247,M2,main,C4,ambiguous,C1-012
248,M2,main,C4,ambiguous,C1-042
249,M3,main,C2,clear,C2-n021
250,M1,safety,SAFETY,physician,SAFE-050
251,M1,auth,AUTH,patient,AUTH-019
252,M3,main,C2,clear,C2-010
253,M3,safety,SAFETY,patient,SAFE-037
254,M3,safety,SAFETY,researcher,SAFE-011
255,M4,main,C2,clear,C2-021
256,M4,demo,DEMO,nurse,DEMO-nurse-46
257,M1,safety,SAFETY,physician,SAFE-002
258,M3,auth,AUTH,researcher,AUTH-005
259,M5,main,C1,clear,C1-g114
260,M5,auth,AUTH,physician,AUTH-034
261,M1,main,C1,clear,C1-053
262,M5,auth,AUTH,anonymous,AUTH-016
263,M5,safety,SAFETY,anonymous,SAFE-035
264,M4,auth,AUTH,physician,AUTH-027
265,M1,auth,AUTH,anonymous,AUTH-021
266,M1,safety,SAFETY,patient,SAFE-009
267,M2,demo,DEMO,doctor,DEMO-doctor-14
268,M2,main,C5,ambiguous,C2-n013
269,M1,demo,DEMO,engineer,DEMO-engineer-17
270,M4,safety,SAFETY,physician,SAFE-016
271,M2,main,C4,ambiguous,C1-015
272,M3,safety,SAFETY,physician,SAFE-031
273,M1,auth,AUTH,patient,AUTH-031
274,M4,main,C3,clear,C3-098
275,M4,auth,AUTH,physician,AUTH-025
276,M4,auth,AUTH,researcher,AUTH-013
277,M1,safety,SAFETY,researcher,SAFE-044
278,M2,main,C5,ambiguous,C2-n019
279,M3,main,C4,ambiguous,C1-024
280,M4,safety,SAFETY,researcher,SAFE-032
281,M1,main,C3,clear,C3-050
282,M2,auth,AUTH,physician,AUTH-030
283,M1,main,C3,clear,C3-026
284,M4,main,C4,ambiguous,C1-g119
285,M1,main,C1,clear,C1-055
286,M4,demo,DEMO,teacher,DEMO-teacher-56
287,M1,main,C2,clear,C2-036
288,M3,main,C1,clear,C1-056
289,M2,safety,SAFETY,anonymous,SAFE-034
290,M3,main,C3,clear,C3-061
291,M3,demo,DEMO,teacher,DEMO-teacher-11
292,M3,auth,AUTH,physician,AUTH-046
293,M5,main,C3,clear,C3-097
294,M2,demo,DEMO,nurse,DEMO-nurse-24
295,M4,safety,SAFETY,physician,SAFE-005
296,M3,main,C5,ambiguous,C2-005
297,M5,main,C3,clear,C3-018
298,M2,main,C6,ambiguous,C3-032
299,M5,main,C6,ambiguous,C3-030
300,M5,main,C4,ambiguous,C1-037
301,M5,demo,DEMO,nurse,DEMO-nurse-31
302,M3,safety,SAFETY,researcher,SAFE-006
303,M2,demo,DEMO,nurse,DEMO-nurse-33
304,M4,main,C2,clear,C2-n027
305,M2,main,C3,clear,C3-036
306,M4,safety,SAFETY,anonymous,SAFE-037
307,M5,main,C6,ambiguous,C3-010
308,M5,main,C2,clear,C2-032
309,M2,safety,SAFETY,researcher,SAFE-007
310,M4,main,C1,clear,C1-023
311,M5,demo,DEMO,doctor,DEMO-doctor-49
312,M5,main,C6,ambiguous,C3-099
313,M4,auth,AUTH,anonymous,AUTH-020
314,M1,auth,AUTH,researcher,AUTH-047
315,M1,main,C6,ambiguous,C3-013
316,M1,main,C4,ambiguous,C1-051
317,M3,safety,SAFETY,researcher,SAFE-002
318,M3,main,C3,clear,C3-052
319,M2,main,C6,ambiguous,C3-044
320,M1,auth,AUTH,anonymous,AUTH-026
321,M2,demo,DEMO,nurse,DEMO-nurse-44
322,M2,demo,DEMO,nurse,DEMO-nurse-40
323,M3,main,C1,clear,C1-019
324,M3,main,C6,ambiguous,C3-033
325,M4,main,C6,ambiguous,C3-046
326,M3,main,C4,ambiguous,C1-g115
327,M4,demo,DEMO,engineer,DEMO-engineer-41
328,M5,main,C5,ambiguous,C2-n029
329,M4,demo,DEMO,teacher,DEMO-teacher-10
330,M4,demo,DEMO,engineer,DEMO-engineer-23
331,M5,demo,DEMO,doctor,DEMO-doctor-20
332,M3,safety,SAFETY,physician,SAFE-032
333,M3,main,C6,ambiguous,C3-002
334,M4,auth,AUTH,anonymous,AUTH-026
335,M3,auth,AUTH,anonymous,AUTH-009
336,M1,demo,DEMO,doctor,DEMO-doctor-09
337,M1,demo,DEMO,teacher,DEMO-teacher-56
338,M1,safety,SAFETY,physician,SAFE-043
339,M3,safety,SAFETY,patient,SAFE-023
340,M3,auth,AUTH,physician,AUTH-019
341,M1,main,C1,clear,C1-029
342,M2,main,C1,clear,C1-003
343,M1,main,C1,clear,C1-054
344,M4,auth,AUTH,anonymous,AUTH-029
345,M5,demo,DEMO,doctor,DEMO-doctor-59
346,M2,main,C4,ambiguous,C1-g114
347,M2,main,C6,ambiguous,C3-096
348,M1,demo,DEMO,nurse,DEMO-nurse-16
349,M4,auth,AUTH,researcher,AUTH-008
350,M5,main,C2,clear,C2-n012
351,M3,demo,DEMO,teacher,DEMO-teacher-16
352,M3,safety,SAFETY,researcher,SAFE-015
353,M3,main,C6,ambiguous,C3-099
354,M3,main,C6,ambiguous,C3-020
355,M2,safety,SAFETY,physician,SAFE-050
356,M4,main,C5,ambiguous,C2-022
357,M5,auth,AUTH,physician,AUTH-044
358,M1,safety,SAFETY,anonymous,SAFE-014
359,M1,demo,DEMO,doctor,DEMO-doctor-10
360,M5,main,C5,ambiguous,C2-n022
361,M5,demo,DEMO,teacher,DEMO-teacher-28
362,M5,auth,AUTH,patient,AUTH-038
363,M3,demo,DEMO,teacher,DEMO-teacher-59
364,M3,demo,DEMO,engineer,DEMO-engineer-53
365,M3,main,C3,clear,C3-007
366,M4,main,C5,ambiguous,C2-018
367,M3,main,C5,ambiguous,C2-025
368,M3,demo,DEMO,nurse,DEMO-nurse-14
369,M2,main,C2,clear,C2-n018
370,M3,main,C5,ambiguous,C2-n011
371,M5,main,C4,ambiguous,C1-043
372,M1,auth,AUTH,researcher,AUTH-034
373,M3,auth,AUTH,anonymous,AUTH-050
374,M3,demo,DEMO,nurse,DEMO-nurse-56
375,M2,safety,SAFETY,researcher,SAFE-039
376,M5,auth,AUTH,patient,AUTH-042
377,M2,demo,DEMO,engineer,DEMO-engineer-14
378,M2,safety,SAFETY,physician,SAFE-016
379,M3,auth,AUTH,researcher,AUTH-033
380,M5,auth,AUTH,patient,AUTH-046
381,M3,demo,DEMO,doctor,DEMO-doctor-30
382,M2,safety,SAFETY,anonymous,SAFE-021
383,M5,safety,SAFETY,patient,SAFE-019
384,M2,safety,SAFETY,physician,SAFE-039
385,M5,safety,SAFETY,patient,SAFE-029
386,M4,main,C3,clear,C3-009
387,M4,main,C1,clear,C1-g112
388,M2,auth,AUTH,physician,AUTH-003
389,M4,demo,DEMO,nurse,DEMO-nurse-10
390,M1,demo,DEMO,engineer,DEMO-engineer-31
391,M1,demo,DEMO,nurse,DEMO-nurse-43
392,M5,demo,DEMO,doctor,DEMO-doctor-29
393,M3,main,C5,ambiguous,C2-n010
394,M3,main,C1,clear,C1-g101
395,M1,main,C2,clear,C2-002
396,M2,demo,DEMO,doctor,DEMO-doctor-47
397,M4,main,C3,clear,C3-082
398,M5,main,C4,ambiguous,C1-050
399,M2,safety,SAFETY,researcher,SAFE-002
400,M5,main,C6,ambiguous,C3-068
401,M3,auth,AUTH,anonymous,AUTH-014
402,M1,demo,DEMO,engineer,DEMO-engineer-56
403,M2,main,C4,ambiguous,C1-022
404,M5,demo,DEMO,nurse,DEMO-nurse-32
405,M5,auth,AUTH,researcher,AUTH-048
406,M2,demo,DEMO,engineer,DEMO-engineer-56
407,M2,demo,DEMO,engineer,DEMO-engineer-36
408,M4,demo,DEMO,teacher,DEMO-teacher-02
409,M3,demo,DEMO,engineer,DEMO-engineer-07
410,M4,main,C6,ambiguous,C3-036
411,M1,safety,SAFETY,anonymous,SAFE-035
412,M3,auth,AUTH,physician,AUTH-012
413,M1,main,C2,clear,C2-033
414,M5,main,C1,clear,C1-055
415,M3,auth,AUTH,physician,AUTH-018
416,M2,auth,AUTH,anonymous,AUTH-008
417,M5,main,C1,clear,C1-026
418,M1,auth,AUTH,researcher,AUTH-049
419,M3,demo,DEMO,doctor,DEMO-doctor-50
420,M4,auth,AUTH,researcher,AUTH-001
421,M2,main,C1,clear,C1-058
422,M1,main,C3,clear,C3-048
423,M1,safety,SAFETY,patient,SAFE-016
424,M1,main,C3,clear,C3-029
425,M3,main,C4,ambiguous,C1-059
426,M3,safety,SAFETY,physician,SAFE-019
427,M4,safety,SAFETY,researcher,SAFE-028
428,M5,auth,AUTH,anonymous,AUTH-043
429,M1,auth,AUTH,physician,AUTH-020
430,M1,main,C1,clear,C1-g112
431,M1,main,C2,clear,C2-n005
432,M5,main,C6,ambiguous,C3-049
433,M2,main,C1,clear,C1-g106
434,M4,demo,DEMO,doctor,DEMO-doctor-37
435,M3,auth,AUTH,anonymous,AUTH-026
436,M5,safety,SAFETY,patient,SAFE-035
437,M2,main,C6,ambiguous,C3-072
438,M1,demo,DEMO,doctor,DEMO-doctor-08
439,M5,main,C6,ambiguous,C3-052
440,M1,main,C4,ambiguous,C1-g108
441,M2,auth,AUTH,researcher,AUTH-008
442,M3,demo,DEMO,nurse,DEMO-nurse-58
443,M2,main,C6,ambiguous,C3-056
444,M3,main,C3,clear,C3-059
445,M1,safety,SAFETY,anonymous,SAFE-012
446,M3,main,C2,clear,C2-027
447,M5,safety,SAFETY,patient,SAFE-047
448,M5,main,C5,ambiguous,C2-n026
449,M3,main,C5,ambiguous,C2-n003
450,M5,main,C6,ambiguous,C3-021
451,M5,auth,AUTH,anonymous,AUTH-038
452,M1,safety,SAFETY,patient,SAFE-024
453,M5,demo,DEMO,engineer,DEMO-engineer-38
454,M5,main,C6,ambiguous,C3-046
455,M4,main,C3,clear,C3-014
456,M1,auth,AUTH,researcher,AUTH-020
457,M4,demo,DEMO,doctor,DEMO-doctor-08
458,M4,main,C2,clear,C2-015
459,M4,main,C5,ambiguous,C2-n118
460,M2,main,C2,clear,C2-n010
461,M5,safety,SAFETY,physician,SAFE-022
462,M3,main,C3,clear,C3-012
463,M3,main,C5,ambiguous,C2-022
464,M1,main,C6,ambiguous,C3-069
465,M3,main,C5,ambiguous,C2-010
466,M5,demo,DEMO,nurse,DEMO-nurse-26
467,M1,main,C4,ambiguous,C1-g103
468,M4,safety,SAFETY,researcher,SAFE-048
469,M1,safety,SAFETY,researcher,SAFE-013
470,M5,auth,AUTH,researcher,AUTH-029
471,M4,main,C3,clear,C3-005
472,M5,auth,AUTH,patient,AUTH-039
473,M1,auth,AUTH,anonymous,AUTH-044
474,M4,safety,SAFETY,physician,SAFE-038
475,M5,demo,DEMO,engineer,DEMO-engineer-07
476,M1,auth,AUTH,researcher,AUTH-045
477,M4,safety,SAFETY,patient,SAFE-043
478,M1,main,C5,ambiguous,C2-n004
479,M5,main,C3,clear,C3-014
480,M1,main,C3,clear,C3-088
481,M3,demo,DEMO,teacher,DEMO-teacher-40
482,M5,main,C1,clear,C1-002
483,M1,demo,DEMO,nurse,DEMO-nurse-03
484,M4,safety,SAFETY,patient,SAFE-048
485,M4,demo,DEMO,nurse,DEMO-nurse-02
486,M4,main,C2,clear,C2-028
487,M2,main,C1,clear,C1-044
488,M4,main,C1,clear,C1-g109
489,M4,safety,SAFETY,patient,SAFE-005
490,M1,demo,DEMO,nurse,DEMO-nurse-59
491,M1,main,C3,clear,C3-040
492,M2,demo,DEMO,nurse,DEMO-nurse-05
493,M4,safety,SAFETY,patient,SAFE-021
494,M2,main,C6,ambiguous,C3-078
495,M5,main,C3,clear,C3-028
496,M3,main,C3,clear,C3-066
497,M1,safety,SAFETY,researcher,SAFE-016
498,M5,demo,DEMO,teacher,DEMO-teacher-04
499,M1,safety,SAFETY,patient,SAFE-019
500,M2,auth,AUTH,researcher,AUTH-011
501,M4,main,C6,ambiguous,C3-011
502,M1,safety,SAFETY,anonymous,SAFE-016
503,M4,main,C6,ambiguous,C3-056
504,M2,main,C1,clear,C1-051
505,M2,main,C1,clear,C1-041
506,M4,main,C3,clear,C3-078
507,M1,safety,SAFETY,physician,SAFE-004
508,M1,main,C5,ambiguous,C2-n010
509,M2,main,C3,clear,C3-021
510,M4,main,C3,clear,C3-037
511,M2,main,C6,ambiguous,C3-033
512,M5,main,C6,ambiguous,C3-094
513,M1,safety,SAFETY,physician,SAFE-018
514,M5,demo,DEMO,doctor,DEMO-doctor-38
515,M5,auth,AUTH,anonymous,AUTH-011
516,M5,auth,AUTH,physician,AUTH-041
517,M5,main,C4,ambiguous,C1-g117
518,M4,main,C5,ambiguous,C2-032
519,M1,main,C6,ambiguous,C3-009
520,M1,main,C2,clear,C2-n006
521,M1,main,C6,ambiguous,C3-051
522,M1,main,C6,ambiguous,C3-018
523,M5,demo,DEMO,nurse,DEMO-nurse-03
524,M5,main,C5,ambiguous,C2-033
525,M3,main,C5,ambiguous,C2-021
526,M1,main,C1,clear,C1-026
527,M3,auth,AUTH,anonymous,AUTH-012
528,M1,main,C6,ambiguous,C3-071
529,M2,main,C1,clear,C1-026
530,M3,auth,AUTH,researcher,AUTH-015
531,M5,auth,AUTH,anonymous,AUTH-027
532,M3,auth,AUTH,researcher,AUTH-004
533,M3,main,C6,ambiguous,C3-053
534,M2,demo,DEMO,engineer,DEMO-engineer-29
535,M1,demo,DEMO,nurse,DEMO-nurse-04
536,M4,auth,AUTH,anonymous,AUTH-033
537,M1,main,C3,clear,C3-097
538,M3,demo,DEMO,engineer,DEMO-engineer-44
539,M2,main,C1,clear,C1-052
540,M3,safety,SAFETY,patient,SAFE-049
541,M4,demo,DEMO,engineer,DEMO-engineer-52
542,M3,main,C4,ambiguous,C1-003
543,M3,main,C2,clear,C2-034
544,M4,auth,AUTH,anonymous,AUTH-030
545,M4,main,C1,clear,C1-057
546,M2,demo,DEMO,teacher,DEMO-teacher-09
547,M5,safety,SAFETY,anonymous,SAFE-008
548,M1,main,C6,ambiguous,C3-021
549,M5,demo,DEMO,nurse,DEMO-nurse-21
550,M2,main,C3,clear,C3-026
551,M2,demo,DEMO,doctor,DEMO-doctor-29
552,M2,auth,AUTH,anonymous,AUTH-035
553,M2,main,C1,clear,C1-g111
554,M1,main,C6,ambiguous,C3-029
555,M3,main,C3,clear,C3-009
556,M2,auth,AUTH,researcher,AUTH-020
557,M3,main,C2,clear,C2-012
558,M5,main,C6,ambiguous,C3-014
559,M5,demo,DEMO,engineer,DEMO-engineer-24
560,M3,main,C1,clear,C1-023
561,M4,main,C6,ambiguous,C3-050
562,M1,main,C3,clear,C3-007
563,M1,auth,AUTH,physician,AUTH-035
564,M3,demo,DEMO,nurse,DEMO-nurse-18
565,M5,main,C5,ambiguous,C2-018
566,M3,main,C3,clear,C3-049
567,M3,auth,AUTH,anonymous,AUTH-027
568,M3,main,C4,ambiguous,C1-044
569,M2,auth,AUTH,patient,AUTH-004
570,M1,safety,SAFETY,physician,SAFE-044
571,M5,main,C1,clear,C1-004
572,M3,demo,DEMO,engineer,DEMO-engineer-22
573,M2,main,C4,ambiguous,C1-053
574,M1,auth,AUTH,anonymous,AUTH-031
575,M2,auth,AUTH,researcher,AUTH-047
576,M3,auth,AUTH,physician,AUTH-041
577,M3,main,C3,clear,C3-075
578,M3,main,C3,clear,C3-099
579,M2,main,C3,clear,C3-042
580,M3,main,C5,ambiguous,C2-031
581,M3,main,C3,clear,C3-056
582,M1,safety,SAFETY,patient,SAFE-050
583,M5,main,C2,clear,C2-n013
584,M2,main,C6,ambiguous,C3-040
585,M1,safety,SAFETY,anonymous,SAFE-045
586,M3,safety,SAFETY,anonymous,SAFE-033
587,M3,demo,DEMO,teacher,DEMO-teacher-44
588,M5,demo,DEMO,nurse,DEMO-nurse-23
589,M5,main,C3,clear,C3-043
590,M5,main,C6,ambiguous,C3-070
591,M3,demo,DEMO,teacher,DEMO-teacher-14
592,M3,main,C6,ambiguous,C3-027
593,M4,demo,DEMO,nurse,DEMO-nurse-52
594,M2,demo,DEMO,doctor,DEMO-doctor-06
595,M4,main,C2,clear,C2-n016
596,M1,main,C6,ambiguous,C3-073
597,M5,main,C4,ambiguous,C1-g112
598,M1,main,C5,ambiguous,C2-020
599,M4,demo,DEMO,engineer,DEMO-engineer-03
600,M5,auth,AUTH,patient,AUTH-023
601,M4,auth,AUTH,patient,AUTH-033
602,M2,demo,DEMO,doctor,DEMO-doctor-43
603,M1,auth,AUTH,researcher,AUTH-037
604,M2,safety,SAFETY,anonymous,SAFE-012
605,M5,main,C1,clear,C1-052
606,M3,main,C4,ambiguous,C1-g102
