question_id,condition,prompt_version,prompt_text,expected_answer,source,domain,needs_review
C1-012,C4,ambiguous,What is the International Vehicle Registration?,K,triviaqa,general,1
C1-013,C1,clear,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?",Poker,triviaqa,general,0
C1-013,C4,ambiguous,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?",Poker,triviaqa,general,1
C1-014,C1,clear,Name either of the cities served by Robin Hood airport?,Doncaster/Sheffield,triviaqa,general,0
C1-014,C4,ambiguous,Name either of the cities served?,Doncaster/Sheffield,triviaqa,general,1
C1-015,C1,clear,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',triviaqa,general,0
C1-015,C4,ambiguous,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played?",'CRIMSON TIDE',triviaqa,general,1
C1-016,C1,clear,"The South African currency unit, the Rand, is divided into a hundred what?",CENTS,triviaqa,general,0
C1-016,C4,ambiguous,"The South African currency unit, the Rand, is divided into a hundred what?",CENTS,triviaqa,general,1
C1-017,C1,clear,Amarelo is Portuguese for which colour?,Yellow,triviaqa,general,0
C1-017,C4,ambiguous,Amarelo is Portuguese?,Yellow,triviaqa,general,1
C1-018,C1,clear,Which Roman Emperor succeeded his father Vespasian in 79?,Titus,triviaqa,general,0
C1-018,C4,ambiguous,Which Roman Emperor succeeded his father Vespasian?,Titus,triviaqa,general,1
C1-019,C1,clear,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego of Spiderman?",Peter Parker,triviaqa,general,0
C1-019,C4,ambiguous,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego?",Peter Parker,triviaqa,general,1
C1-020,C1,clear,What did Tikki Tikki Tembo fall into?,a Well,triviaqa,general,0
C1-020,C4,ambiguous,What did Tikki Tikki Tembo fall into?,a Well,triviaqa,general,1
C1-021,C1,clear,"What was James Herbert’s first book, published in 1974?",Rats,triviaqa,general,0
C1-021,C4,ambiguous,"What was James Herbert’s first book, published?",Rats,triviaqa,general,1
C1-022,C1,clear,Haematite is an ore of which metal?,Iron,triviaqa,general,0
C1-022,C4,ambiguous,Haematite is an ore?,Iron,triviaqa,general,1
C1-023,C1,clear,In the car insurance business what do the letters TPFT suggest,Third Party Fire and Theft,triviaqa,general,0
C1-023,C4,ambiguous,In the car insurance business what do the letters TPFT suggest,Third Party Fire and Theft,triviaqa,general,1
C1-024,C1,clear,"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,triviaqa,general,0
C1-024,C4,ambiguous,"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,triviaqa,general,1
C1-025,C1,clear,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea by a dyke?,Ijsselmeer,triviaqa,general,0
C1-025,C4,ambiguous,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea?,Ijsselmeer,triviaqa,general,1
C1-026,C1,clear,Who was married to Guinevere?,King Arthur,triviaqa,general,0
C1-026,C4,ambiguous,Who was married to Guinevere?,King Arthur,triviaqa,general,1
C1-027,C1,clear,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?",British Airways,triviaqa,general,0
C1-027,C4,ambiguous,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?",British Airways,triviaqa,general,1
C1-028,C1,clear,In which UK city is Great Victoria Street railway station,Belfast,triviaqa,general,0
C1-028,C4,ambiguous,In which UK city is Great Victoria Street railway station,Belfast,triviaqa,general,1
C1-029,C1,clear,In what city would you find Yale University?,New Haven,triviaqa,general,0
C1-029,C4,ambiguous,In what city would you find Yale University?,New Haven,triviaqa,general,1
C1-030,C1,clear,"Which visitor attraction is in Exploration Drive, Leicester?",National Space Centre,triviaqa,general,0
C1-030,C4,ambiguous,"Which visitor attraction is in Exploration Drive, Leicester?",National Space Centre,triviaqa,general,1
C1-031,C1,clear,"Scottish artist, Sir Henry Raeburn was knighted by which British monarch in 1822?",King George IV,triviaqa,general,0
C1-031,C4,ambiguous,"Scottish artist, Sir Henry Raeburn was knighted by which British monarch?",King George IV,triviaqa,general,1
C1-032,C1,clear,Which mountain overlooks Rio De Janeiro and its harbour?,SUGAR LOAF,triviaqa,general,0
C1-032,C4,ambiguous,Which mountain overlooks Rio De Janeiro and its harbour?,SUGAR LOAF,triviaqa,general,1
C1-033,C1,clear,The German company Recaro famously produces what high-performance product?,Seats,triviaqa,general,0
C1-033,C4,ambiguous,The German company Recaro famously produces what high-performance product?,Seats,triviaqa,general,1
C1-034,C1,clear,"The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?",The Red Cross,triviaqa,general,0
C1-034,C4,ambiguous,"The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?",The Red Cross,triviaqa,general,1
C1-035,C1,clear,"Referring to the cause of a person's downfall, who is the Greek goddess of punishment?",Nemesis,triviaqa,general,0
C1-035,C4,ambiguous,"Referring to the cause of a person's downfall, who is the Greek goddess?",Nemesis,triviaqa,general,1
C1-036,C1,clear,"Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres.",BATTLE OF THE SOMME,triviaqa,general,0
C1-036,C4,ambiguous,"Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres.",BATTLE OF THE SOMME,triviaqa,general,1
C1-037,C1,clear,"In the Jewish calendar, Sivan is which month of the religious year?",Third,triviaqa,general,0
C1-037,C4,ambiguous,"In the Jewish calendar, Sivan is which month?",Third,triviaqa,general,1
C1-038,C1,clear,Fritz Kreisler (1875-1962) was a virtuoso on which instrument?,Violin,triviaqa,general,0
C1-038,C4,ambiguous,Fritz Kreisler (1875-1962) was a virtuoso on which instrument?,Violin,triviaqa,general,1
C1-039,C1,clear,"Late English criminal Bruce Reynolds masterminded which infamous robbery, which he later referred to as his ‘Sistine Chapel ceiling’",Great Train Robbery,triviaqa,general,0
C1-039,C4,ambiguous,"Late English criminal Bruce Reynolds masterminded which infamous robbery, which he later referred to as his ‘Sistine Chapel ceiling’",Great Train Robbery,triviaqa,general,1
C1-040,C1,clear,The Melrose Cup is awarded in which ball sport?,RUGBY SEVENS,triviaqa,general,0
C1-040,C4,ambiguous,The Melrose Cup is awarded?,RUGBY SEVENS,triviaqa,general,1
C1-041,C1,clear,At which sport could you win the Victor Barna Award?,Table tennis,triviaqa,general,0
C1-041,C4,ambiguous,At which sport could you win the Victor Barna Award?,Table tennis,triviaqa,general,1
C1-042,C1,clear,Judith Keppel was the first winner of the top prize on which UK programme?,Who Wants To Be a Millionaire?,triviaqa,general,0
C1-042,C4,ambiguous,Judith Keppel was the first winner of the top prize on which UK programme?,Who Wants To Be a Millionaire?,triviaqa,general,1
C1-043,C1,clear,"The Turkish Van (or Turkish Vankedisi), originally from the eastern Turkish lakeside city of Van, is domestic breed of?",Cat,triviaqa,general,0
C1-043,C4,ambiguous,"The Turkish Van (or Turkish Vankedisi), originally from the eastern Turkish lakeside city of Van, is domestic breed of?",Cat,triviaqa,general,1
C1-044,C1,clear,Which musical features the song 'Second Hand Rose'?,FUNNY GIRL,triviaqa,general,0
C1-044,C4,ambiguous,Which musical features the song 'Second Hand Rose'?,FUNNY GIRL,triviaqa,general,1
C1-045,C1,clear,Who famously described England as “a nation of shopkeepers”?,Adam Smith,triviaqa,general,0
C1-045,C4,ambiguous,Who famously described England as “a nation of shopkeepers”?,Adam Smith,triviaqa,general,1
C1-046,C1,clear,In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?,LADY BRACKNELL,triviaqa,general,0
C1-046,C4,ambiguous,In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?,LADY BRACKNELL,triviaqa,general,1
C1-047,C1,clear,Which enduring cartoon character was created by Bob Clampett for the 1938 cartoon Porky's Hare Hunt?,BUGS BUNNY,triviaqa,general,0
C1-047,C4,ambiguous,Which enduring cartoon character was created by Bob Clampett for the 1938 cartoon Porky's Hare Hunt?,BUGS BUNNY,triviaqa,general,1
C1-048,C1,clear,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,LLANBERIS,triviaqa,general,0
C1-048,C4,ambiguous,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,LLANBERIS,triviaqa,general,1
C1-049,C1,clear,‘Boat Race’ is Cockney rhyming slang for which part of the body?,Face,triviaqa,general,0
C1-049,C4,ambiguous,‘Boat Race’ is Cockney rhyming slang for which part?,Face,triviaqa,general,1
C1-050,C1,clear,The infamous drug cartel run by Pablo Escobar through the 1970s and 1980s takes its name from which Columbian city?,Medellín,triviaqa,general,0
C1-050,C4,ambiguous,The infamous drug cartel run by Pablo Escobar through the 1970s and 1980s takes its name from which Columbian city?,Medellín,triviaqa,general,1
C1-051,C1,clear,At which film festival could you be awarded the 'Palm d'Or'?,Cannes,triviaqa,general,0
C1-051,C4,ambiguous,At which film festival could you be awarded the 'Palm d'Or'?,Cannes,triviaqa,general,1
C1-052,C1,clear,What was the surname of the 19th president of the USA who had the first christian name Rutherford ?,HAYES,triviaqa,general,0
C1-052,C4,ambiguous,What was the surname of the 19th president of the USA who had the first christian name Rutherford ?,HAYES,triviaqa,general,1
C1-053,C1,clear,What is the name of the Welsh television producer and writer who created 'Torchwood'?,RUSSELL T. DAVIES,triviaqa,general,0
C1-053,C4,ambiguous,What is the name of the Welsh television producer and writer who created 'Torchwood'?,RUSSELL T. DAVIES,triviaqa,general,1
C1-054,C1,clear,Speculation towards the end of 2007 suggested that Rupert Murdoch's News International Group was in discussion to buy what significant business networking website?,Linkedin.com,triviaqa,general,0
C1-054,C4,ambiguous,Speculation towards the end of 2007 suggested that Rupert Murdoch's News International Group was in discussion to buy what significant business networking website?,Linkedin.com,triviaqa,general,1
C1-055,C1,clear,Name Tchaikovsky's famous ballet which begins on Christmas Eve?,The Nutcracker,triviaqa,general,0
C1-055,C4,ambiguous,Name Tchaikovsky's famous ballet which begins on Christmas Eve?,The Nutcracker,triviaqa,general,1
C1-056,C1,clear,Who duetted with Aretha Franklin on Sisters Are Doing It For Themselves,Annie Lennox,triviaqa,general,0
C1-056,C4,ambiguous,Who duetted with Aretha Franklin on Sisters Are Doing It For Themselves,Annie Lennox,triviaqa,general,1
C1-057,C1,clear,"In the British Army, which commissioned rank is indicated by a crown on each shoulder?",Major,triviaqa,general,0
C1-057,C4,ambiguous,"In the British Army, which commissioned rank is indicated by a crown on each shoulder?",Major,triviaqa,general,1
C1-058,C1,clear,The Uffizi and the Bargello are among the museums of art in which European city ?,FLORENCE,triviaqa,general,0
C1-058,C4,ambiguous,The Uffizi and the Bargello are among the museums of art?,FLORENCE,triviaqa,general,1
C1-059,C1,clear,Who composed the first ever concerto for tuba and orchestra?,Vaughan Williams,triviaqa,general,0
C1-059,C4,ambiguous,Who composed the first ever concerto?,Vaughan Williams,triviaqa,general,1
C1-060,C1,clear,Which English novelist is best known for his Father Brown detective series?,G K Chesterton,triviaqa,general,0
C1-060,C4,ambiguous,Which English novelist is best known for his Father Brown detective series?,G K Chesterton,triviaqa,general,1
C1-g001,C1,clear,"This question refers to the following information.
Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil. When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition.
William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them].
George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
The authors of both passages served institutions associated with which of the following colonial techniques commonly used by Western imperial powers?",The chartering of companies to assume costs and share profits,mmlu/high_school_world_history,general,0
C1-g001,C4,ambiguous,"This question refers to the following information.
Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil. When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition.
William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them].
George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
The authors of both passages served institutions associated with which of the following colonial techniques commonly used?",The chartering of companies to assume costs and share profits,mmlu/high_school_world_history,general,1
C1-g002,C1,clear,"This question refers to the following information.
New York! I say New York, let black blood flow into your blood.
Let it wash the rust from your steel joints, like an oil of life
Let it give your bridges the curve of hips and supple vines…
See your rivers stirring with musk alligators
And sea cows with mirage eyes…
Just open your eyes to the April rainbow
And your eyes, especially your ears, to God
Who in one burst of saxophone laughter
Created heaven and earth in six days,
And on the seventh slept a deep Negro sleep.
Senegalese poet Léopold Sédar Senghor, ""To New York,"" 1956
Which of the following best explains the phenomenon of an African poet writing so lyrically about New York?",Stronger transatlantic influences linking art in Afro-Eurasia with that in the Americas,mmlu/high_school_world_history,general,0
C1-g002,C4,ambiguous,"This question refers to the following information.
New York! I say New York, let black blood flow into your blood.
Let it wash the rust from your steel joints, like an oil of life
Let it give your bridges the curve of hips and supple vines…
See your rivers stirring with musk alligators
And sea cows with mirage eyes…
Just open your eyes to the April rainbow
And your eyes, especially your ears, to God
Who in one burst of saxophone laughter
Created heaven and earth in six days,
And on the seventh slept a deep Negro sleep.
Senegalese poet Léopold Sédar Senghor, ""To New York,"" 1956
Which of the following best explains the phenomenon of an African poet writing so lyrically?",Stronger transatlantic influences linking art in Afro-Eurasia with that in the Americas,mmlu/high_school_world_history,general,1
C1-g003,C1,clear,"This question refers to the following information.
""Let a woman retire late to bed, but rise early to duties; let her nor dread tasks by day or by night. Let her not refuse to perform domestic duties whether easy or difficult. That which must be done, let her finish completely, tidily, and systematically, When a woman follows such rules as these, then she may be said to be industrious.
Let a woman be correct in manner and upright in character in order to serve her husband. Let her live in purity and quietness of spirit, and attend to her own affairs. Let her love not gossip and silly laughter. Let her cleanse and purify and arrange in order the wine and the food for the offerings to the ancestors. When a woman observes such principles as these, then she may be said to continue ancestral worship.
No woman who observes these three fundamentals of life has ever had a bad reputation or has fallen into disgrace. If a woman fail to observe them, how can her name be honored; how can she but bring disgrace upon herself?""
© The East Asian Library and the Gest Collection, Princeton University.
Ban Zhao, Lessons for a Woman, ca. 80 C.E.
Which theme in the passage was common in patriarchal ancient societies?",The importance of female purity,mmlu/high_school_world_history,general,0
C1-g003,C4,ambiguous,"This question refers to the following information.
""Let a woman retire late to bed, but rise early to duties; let her nor dread tasks by day or by night. Let her not refuse to perform domestic duties whether easy or difficult. That which must be done, let her finish completely, tidily, and systematically, When a woman follows such rules as these, then she may be said to be industrious.
Let a woman be correct in manner and upright in character in order to serve her husband. Let her live in purity and quietness of spirit, and attend to her own affairs. Let her love not gossip and silly laughter. Let her cleanse and purify and arrange in order the wine and the food for the offerings to the ancestors. When a woman observes such principles as these, then she may be said to continue ancestral worship.
No woman who observes these three fundamentals of life has ever had a bad reputation or has fallen into disgrace. If a woman fail to observe them, how can her name be honored; how can she but bring disgrace upon herself?""
© The East Asian Library and the Gest Collection, Princeton University.
Ban Zhao, Lessons for a Woman, ca. 80 C.E.
Which theme in the passage was common?",The importance of female purity,mmlu/high_school_world_history,general,1
C1-g004,C1,clear,"This question refers to the following information.
""When the gods fashioned Gilgamesh*, to him they gave a perfect form. The glorious sun Shamash bestowed upon him glory; Adad the terrible god of storms bestowed upon him courage. The great gods perfected his magnificence beyond all others, terrible like the great wild bull. Two thirds god they made him; one third man they made him.
Of Uruk, its great rampart he built, and the wall of the sacred Eanna temple, the holy sanctuary. Behold the outer walls which gleam with the brilliance of copper; see the inner wall which none might rival. Touch the threshold stone—it is from ancient days. Goest thou into the Eanna temple, yea, the dwelling place of Ishtar, the like of which no subsequent king or living man might equal. Ascend and walk about on the wall of Uruk, inspect the corner-stone, and examine its brick-work, whether its wall is not made of burned brick, and its foundation laid by the Seven Sages. One third for city, one third for garden, one third for field, and a precinct for the temple of Ishtar. These parts and the precinct comprise Uruk.""
The Epic of Gilgamesh, ca. 2100 B.C.E.
*Gilgamesh was a king of Uruk.
Which of the following best describes the origins of epic poetry such as the Epic of Gilgamesh?",The rise of a literate class of scribes in cities who could record poems,mmlu/high_school_world_history,general,0
C1-g004,C4,ambiguous,"This question refers to the following information.
""When the gods fashioned Gilgamesh*, to him they gave a perfect form. The glorious sun Shamash bestowed upon him glory; Adad the terrible god of storms bestowed upon him courage. The great gods perfected his magnificence beyond all others, terrible like the great wild bull. Two thirds god they made him; one third man they made him.
Of Uruk, its great rampart he built, and the wall of the sacred Eanna temple, the holy sanctuary. Behold the outer walls which gleam with the brilliance of copper; see the inner wall which none might rival. Touch the threshold stone—it is from ancient days. Goest thou into the Eanna temple, yea, the dwelling place of Ishtar, the like of which no subsequent king or living man might equal. Ascend and walk about on the wall of Uruk, inspect the corner-stone, and examine its brick-work, whether its wall is not made of burned brick, and its foundation laid by the Seven Sages. One third for city, one third for garden, one third for field, and a precinct for the temple of Ishtar. These parts and the precinct comprise Uruk.""
The Epic of Gilgamesh, ca. 2100 B.C.E.
*Gilgamesh was a king of Uruk.
Which of the following best describes the origins of epic poetry such as the Epic?",The rise of a literate class of scribes in cities who could record poems,mmlu/high_school_world_history,general,1
C1-g005,C1,clear,"This question refers to the following information.
While some theorists in the Middle Ages argued that the jihad was a defensive war… most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.
Robert Irwin, ""Islam and the Crusades,"" 1995
It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.
Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185
The second passage undermines traditional historical assumptions by",showing that state-level antagonisms in the Middle East during the crusading era were not always reflected in personal or economic life.,mmlu/high_school_world_history,general,0
C1-g005,C4,ambiguous,"This question refers to the following information.
While some theorists in the Middle Ages argued that the jihad was a defensive war… most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.
Robert Irwin, ""Islam and the Crusades,"" 1995
It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.
Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185
The second passage undermines traditional historical assumptions by",showing that state-level antagonisms in the Middle East during the crusading era were not always reflected in personal or economic life.,mmlu/high_school_world_history,general,1
C1-g006,C1,clear,"This question refers to the following information.
Source 1:
""In the days of a great struggle against a foreign enemy who has been endeavoring for three years to enslave our country, it pleased God to send Russia a further painful trial. Internal troubles threatened to have a fatal effect on the further progress of this obstinate war. The destinies of Russia, the honor of her heroic Army, the happiness of the people, and the whole future of our beloved country demand that the war should be conducted at all costs to a victorious end.
The cruel enemy is making his last efforts and the moment is near when our valiant Army, in concert with our glorious Allies, will finally overthrow the enemy. In these decisive days in the life of Russia we have thought that we owed to our people the close union and organization of all its forces for the realization of a rapid victory; for which reason, in agreement with the Imperial Duma, we have recognized that it is for the good of the country that we should abdicate the Crown of the Russian State and lay down the Supreme Power.""
Tsar Nicholas II, Abdication, March 15, 1917
Source 2:
""History will not forgive revolutionaries for procrastinating when they could be victorious today (and they certainly will be victorious today), while they risk losing much tomorrow, in fact, the risk losing everything.
If we seize power today, we seize it not in opposition to the Soviets but on their behalf. The seizure of power is the business of the uprising; its political purpose will become clear after the seizure….
It would be an infinite crime on the part of the revolutionaries were they to let the chance slip, knowing that the salvation of the revolution, the offer of peace, the salvation of Petrograd, salvation from famine, the transfer of the land to the peasants depend upon them.
The government is tottering. It must be given the death-blow at all costs.""
Vladimir Illyich Lenin, Call to Power, October 24, 1917
Czar Nicholas II's declaration of abdication in Source 1 is best understood in light of which of the following?",Large-scale military losses and resentment of the working classes,mmlu/high_school_world_history,general,0
C1-g006,C4,ambiguous,"This question refers to the following information.
Source 1:
""In the days of a great struggle against a foreign enemy who has been endeavoring for three years to enslave our country, it pleased God to send Russia a further painful trial. Internal troubles threatened to have a fatal effect on the further progress of this obstinate war. The destinies of Russia, the honor of her heroic Army, the happiness of the people, and the whole future of our beloved country demand that the war should be conducted at all costs to a victorious end.
The cruel enemy is making his last efforts and the moment is near when our valiant Army, in concert with our glorious Allies, will finally overthrow the enemy. In these decisive days in the life of Russia we have thought that we owed to our people the close union and organization of all its forces for the realization of a rapid victory; for which reason, in agreement with the Imperial Duma, we have recognized that it is for the good of the country that we should abdicate the Crown of the Russian State and lay down the Supreme Power.""
Tsar Nicholas II, Abdication, March 15, 1917
Source 2:
""History will not forgive revolutionaries for procrastinating when they could be victorious today (and they certainly will be victorious today), while they risk losing much tomorrow, in fact, the risk losing everything.
If we seize power today, we seize it not in opposition to the Soviets but on their behalf. The seizure of power is the business of the uprising; its political purpose will become clear after the seizure….
It would be an infinite crime on the part of the revolutionaries were they to let the chance slip, knowing that the salvation of the revolution, the offer of peace, the salvation of Petrograd, salvation from famine, the transfer of the land to the peasants depend upon them.
The government is tottering. It must be given the death-blow at all costs.""
Vladimir Illyich Lenin, Call to Power, October 24, 1917
Czar Nicholas II's declaration of abdication in Source 1 is best understood in light?",Large-scale military losses and resentment of the working classes,mmlu/high_school_world_history,general,1
C1-g007,C1,clear,"This question refers to the following information.
""Article 1
The Parties undertake, as set forth in the Charter of the United Nations, to settle any international dispute in which they may be involved by peaceful means in such a manner that international peace and security and justice are not endangered, and to refrain in their international relations from the threat or use of force in any manner inconsistent with the purposes of the United Nations.
""Article 2
The Parties will contribute toward the further development of peaceful and friendly international relations by strengthening their free institutions, by bringing about a better understanding of the principles upon which these institutions are founded, and by promoting conditions of stability and well-being. They will seek to eliminate conflict in their international economic policies and will encourage economic collaboration between any or all of them.
""Article 3
In order more effectively to achieve the objectives of this Treaty, the Parties, separately and jointly, by means of continuous and effective self-help and mutual aid, will maintain and develop their individual and collective capacity to resist armed attack…
""Article 5
The Parties agree that an armed attack against one or more of them in Europe or North America shall be considered an attack against them all and consequently they agree that, if such an armed attack occurs, each of them, in exercise of the right of individual or collective self-defence recognised by Article 51 of the Charter of the United Nations, will assist the Party or Parties so attacked by taking forthwith, individually and in concert with the other Parties, such action as it deems necessary, including the use of armed force, to restore and maintain the security of the North Atlantic area.""
North Atlantic Treaty, April 4, 1949
Based on the treaty, the United Nations mentioned in the first paragraph is an example of which of the following?",An organization dedicated to providing avenues of arbitration of disputes for the nations of the world,mmlu/high_school_world_history,general,0
C1-g007,C4,ambiguous,"This question refers to the following information.
""Article 1
The Parties undertake, as set forth in the Charter of the United Nations, to settle any international dispute in which they may be involved by peaceful means in such a manner that international peace and security and justice are not endangered, and to refrain in their international relations from the threat or use of force in any manner inconsistent with the purposes of the United Nations.
""Article 2
The Parties will contribute toward the further development of peaceful and friendly international relations by strengthening their free institutions, by bringing about a better understanding of the principles upon which these institutions are founded, and by promoting conditions of stability and well-being. They will seek to eliminate conflict in their international economic policies and will encourage economic collaboration between any or all of them.
""Article 3
In order more effectively to achieve the objectives of this Treaty, the Parties, separately and jointly, by means of continuous and effective self-help and mutual aid, will maintain and develop their individual and collective capacity to resist armed attack…
""Article 5
The Parties agree that an armed attack against one or more of them in Europe or North America shall be considered an attack against them all and consequently they agree that, if such an armed attack occurs, each of them, in exercise of the right of individual or collective self-defence recognised by Article 51 of the Charter of the United Nations, will assist the Party or Parties so attacked by taking forthwith, individually and in concert with the other Parties, such action as it deems necessary, including the use of armed force, to restore and maintain the security of the North Atlantic area.""
North Atlantic Treaty, April 4, 1949
Based on the treaty, the United Nations mentioned in the first paragraph is an example?",An organization dedicated to providing avenues of arbitration of disputes for the nations of the world,mmlu/high_school_world_history,general,1
