question_id,condition,prompt_version,prompt_text,expected_answer,source,domain,needs_review
C1-015,C1,clear,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played by Gene Hackman?",'CRIMSON TIDE',triviaqa,general,0
C1-015,C4,ambiguous,"Which film about a submarine had as one of its stars Denzil Washington, whose character had violent disagreements with his Captain played?",'CRIMSON TIDE',triviaqa,general,1
C1-016,C1,clear,"The South African currency unit, the Rand, is divided into a hundred what?",CENTS,triviaqa,general,0
C1-016,C4,ambiguous,The currency unit is divided into a hundred what?,CENTS,triviaqa,general,1
C1-017,C1,clear,Amarelo is Portuguese for which colour?,Yellow,triviaqa,general,0
C1-017,C4,ambiguous,Amarelo is Portuguese?,Yellow,triviaqa,general,1
C1-018,C1,clear,Which Roman Emperor succeeded his father Vespasian in 79?,Titus,triviaqa,general,0
C1-018,C4,ambiguous,Which Roman Emperor succeeded his father Vespasian?,Titus,triviaqa,general,1
C1-019,C1,clear,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego of Spiderman?",Peter Parker,triviaqa,general,0
C1-019,C4,ambiguous,"Eventually a newspaper photographer for the Daily Bugle, what is the alter ego?",Peter Parker,triviaqa,general,1
C1-020,C1,clear,What did Tikki Tikki Tembo fall into?,a Well,triviaqa,general,0
C1-020,C4,ambiguous,What did the character fall into?,a Well,triviaqa,general,1
C1-021,C1,clear,"What was James Herbert’s first book, published in 1974?",Rats,triviaqa,general,0
C1-021,C4,ambiguous,"What was James Herbert’s first book, published?",Rats,triviaqa,general,1
C1-022,C1,clear,Haematite is an ore of which metal?,Iron,triviaqa,general,0
C1-022,C4,ambiguous,Haematite is an ore?,Iron,triviaqa,general,1
C1-023,C1,clear,In the car insurance business what do the letters TPFT suggest,Third Party Fire and Theft,triviaqa,general,0
C1-023,C4,ambiguous,What do the letters TPFT suggest?,Third Party Fire and Theft,triviaqa,general,1
C1-024,C1,clear,"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,triviaqa,general,0
C1-024,C4,ambiguous,What is the name of the cathedral?,St. Basil's,triviaqa,general,1
C1-025,C1,clear,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea by a dyke?,Ijsselmeer,triviaqa,general,0
C1-025,C4,ambiguous,What is the name of the lake formed in 1932 when the Zuider Zee was cut off from the North Sea?,Ijsselmeer,triviaqa,general,1
C1-026,C1,clear,Who was married to Guinevere?,King Arthur,triviaqa,general,0
C1-026,C4,ambiguous,Who was she married to?,King Arthur,triviaqa,general,1
C1-027,C1,clear,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?",British Airways,triviaqa,general,0
C1-027,C4,ambiguous,Which UK airline was privatised and listed on the London Stock Exchange?,British Airways,triviaqa,general,1
C1-028,C1,clear,In which UK city is Great Victoria Street railway station,Belfast,triviaqa,general,0
C1-028,C4,ambiguous,In which UK city is the railway station?,Belfast,triviaqa,general,1
C1-029,C1,clear,In what city would you find Yale University?,New Haven,triviaqa,general,0
C1-029,C4,ambiguous,In what city would you find the university?,New Haven,triviaqa,general,1
C1-030,C1,clear,"Which visitor attraction is in Exploration Drive, Leicester?",National Space Centre,triviaqa,general,0
C1-030,C4,ambiguous,Which visitor attraction is there?,National Space Centre,triviaqa,general,1
C1-031,C1,clear,"Scottish artist, Sir Henry Raeburn was knighted by which British monarch in 1822?",King George IV,triviaqa,general,0
C1-031,C4,ambiguous,"Scottish artist, Sir Henry Raeburn was knighted by which British monarch?",King George IV,triviaqa,general,1
C1-032,C1,clear,Which mountain overlooks Rio De Janeiro and its harbour?,SUGAR LOAF,triviaqa,general,0
C1-032,C4,ambiguous,Which mountain overlooks the city and its harbour?,SUGAR LOAF,triviaqa,general,1
C1-033,C1,clear,The German company Recaro famously produces what high-performance product?,Seats,triviaqa,general,0
C1-033,C4,ambiguous,What high-performance product does the company famously produce?,Seats,triviaqa,general,1
C1-034,C1,clear,"The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?",The Red Cross,triviaqa,general,0
C1-034,C4,ambiguous,The first winner of the Nobel Peace Prize founded which international organization?,The Red Cross,triviaqa,general,1
C1-035,C1,clear,"Referring to the cause of a person's downfall, who is the Greek goddess of punishment?",Nemesis,triviaqa,general,0
C1-035,C4,ambiguous,"Referring to the cause of a person's downfall, who is the Greek goddess?",Nemesis,triviaqa,general,1
C1-036,C1,clear,"Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres.",BATTLE OF THE SOMME,triviaqa,general,0
C1-036,C4,ambiguous,"Which battle saw 60,000 British casualties on the first day?",BATTLE OF THE SOMME,triviaqa,general,1
C1-037,C1,clear,"In the Jewish calendar, Sivan is which month of the religious year?",Third,triviaqa,general,0
C1-037,C4,ambiguous,"In the Jewish calendar, Sivan is which month?",Third,triviaqa,general,1
C1-038,C1,clear,Fritz Kreisler (1875-1962) was a virtuoso on which instrument?,Violin,triviaqa,general,0
C1-038,C4,ambiguous,He was a virtuoso on which instrument?,Violin,triviaqa,general,1
C1-039,C1,clear,"Late English criminal Bruce Reynolds masterminded which infamous robbery, which he later referred to as his ‘Sistine Chapel ceiling’",Great Train Robbery,triviaqa,general,0
C1-039,C4,ambiguous,He masterminded which infamous robbery?,Great Train Robbery,triviaqa,general,1
C1-040,C1,clear,The Melrose Cup is awarded in which ball sport?,RUGBY SEVENS,triviaqa,general,0
C1-040,C4,ambiguous,The Melrose Cup is awarded?,RUGBY SEVENS,triviaqa,general,1
C1-041,C1,clear,At which sport could you win the Victor Barna Award?,Table tennis,triviaqa,general,0
C1-041,C4,ambiguous,At which sport could you win the award?,Table tennis,triviaqa,general,1
C1-042,C1,clear,Judith Keppel was the first winner of the top prize on which UK programme?,Who Wants To Be a Millionaire?,triviaqa,general,0
C1-042,C4,ambiguous,She was the first winner of the top prize on which UK programme?,Who Wants To Be a Millionaire?,triviaqa,general,1
C1-043,C1,clear,"The Turkish Van (or Turkish Vankedisi), originally from the eastern Turkish lakeside city of Van, is domestic breed of?",Cat,triviaqa,general,0
C1-043,C4,ambiguous,The breed is a domestic breed of what?,Cat,triviaqa,general,1
C1-044,C1,clear,Which musical features the song 'Second Hand Rose'?,FUNNY GIRL,triviaqa,general,0
C1-044,C4,ambiguous,Which musical features the song?,FUNNY GIRL,triviaqa,general,1
C1-045,C1,clear,Who famously described England as “a nation of shopkeepers”?,Adam Smith,triviaqa,general,0
C1-045,C4,ambiguous,Who famously used that description?,Adam Smith,triviaqa,general,1
C1-046,C1,clear,In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?,LADY BRACKNELL,triviaqa,general,0
C1-046,C4,ambiguous,Who utters the line 'a handbag'?,LADY BRACKNELL,triviaqa,general,1
C1-047,C1,clear,Which enduring cartoon character was created by Bob Clampett for the 1938 cartoon Porky's Hare Hunt?,BUGS BUNNY,triviaqa,general,0
C1-047,C4,ambiguous,Which enduring cartoon character was created for the cartoon?,BUGS BUNNY,triviaqa,general,1
C1-048,C1,clear,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,LLANBERIS,triviaqa,general,0
C1-048,C4,ambiguous,Near which village were the rowing events held?,LLANBERIS,triviaqa,general,1
C1-049,C1,clear,‘Boat Race’ is Cockney rhyming slang for which part of the body?,Face,triviaqa,general,0
C1-049,C4,ambiguous,‘Boat Race’ is Cockney rhyming slang for which part?,Face,triviaqa,general,1
C1-050,C1,clear,The infamous drug cartel run by Pablo Escobar through the 1970s and 1980s takes its name from which Columbian city?,Medellín,triviaqa,general,0
C1-050,C4,ambiguous,The cartel takes its name from which city?,Medellín,triviaqa,general,1
C1-051,C1,clear,At which film festival could you be awarded the 'Palm d'Or'?,Cannes,triviaqa,general,0
C1-051,C4,ambiguous,At which festival could you be awarded that prize?,Cannes,triviaqa,general,1
C1-052,C1,clear,What was the surname of the 19th president of the USA who had the first christian name Rutherford ?,HAYES,triviaqa,general,0
C1-052,C4,ambiguous,What was the surname of the 19th US president?,HAYES,triviaqa,general,1
C1-053,C1,clear,What is the name of the Welsh television producer and writer who created 'Torchwood'?,RUSSELL T. DAVIES,triviaqa,general,0
C1-053,C4,ambiguous,What is the name of the producer who created the show?,RUSSELL T. DAVIES,triviaqa,general,1
C1-054,C1,clear,Speculation towards the end of 2007 suggested that Rupert Murdoch's News International Group was in discussion to buy what significant business networking website?,Linkedin.com,triviaqa,general,0
C1-054,C4,ambiguous,Which significant business networking website was the company in discussion to buy?,Linkedin.com,triviaqa,general,1
C1-055,C1,clear,Name Tchaikovsky's famous ballet which begins on Christmas Eve?,The Nutcracker,triviaqa,general,0
C1-055,C4,ambiguous,Name the famous ballet which begins on Christmas Eve?,The Nutcracker,triviaqa,general,1
C1-056,C1,clear,Who duetted with Aretha Franklin on Sisters Are Doing It For Themselves,Annie Lennox,triviaqa,general,0
C1-056,C4,ambiguous,Who duetted with her on that song?,Annie Lennox,triviaqa,general,1
C1-057,C1,clear,"In the British Army, which commissioned rank is indicated by a crown on each shoulder?",Major,triviaqa,general,0
C1-057,C4,ambiguous,Which commissioned rank is indicated by a crown on each shoulder?,Major,triviaqa,general,1
C1-058,C1,clear,The Uffizi and the Bargello are among the museums of art in which European city ?,FLORENCE,triviaqa,general,0
C1-058,C4,ambiguous,The Uffizi and the Bargello are among the museums of art?,FLORENCE,triviaqa,general,1
C1-059,C1,clear,Who composed the first ever concerto for tuba and orchestra?,Vaughan Williams,triviaqa,general,0
C1-059,C4,ambiguous,Who composed the first ever concerto?,Vaughan Williams,triviaqa,general,1
C1-060,C1,clear,Which English novelist is best known for his Father Brown detective series?,G K Chesterton,triviaqa,general,0
C1-060,C4,ambiguous,Which English novelist is best known for his detective series?,G K Chesterton,triviaqa,general,1
C1-g101,C1,clear,Which of the following statements regarding historical North American migration streams is NOT correct?,Canada's third major migration stream came from Latin America.,mmlu/high_school_geography,general,0
C1-g101,C4,ambiguous,Which of the following statements is NOT correct?,Canada's third major migration stream came from Latin America.,mmlu/high_school_geography,general,1
C1-g102,C1,clear,"The Basques, Bretons, Kashmiris, and Tamils are all examples of",separatist groups.,mmlu/high_school_geography,general,0
C1-g102,C4,ambiguous,These groups are all examples of,separatist groups.,mmlu/high_school_geography,general,1
C1-g103,C1,clear,The theory that every society develops economically according to a five-stage pattern of growth is attributed to,Rostow.,mmlu/high_school_geography,general,0
C1-g103,C4,ambiguous,The theory of a five-stage pattern of economic growth is attributed to,Rostow.,mmlu/high_school_geography,general,1
C1-g104,C1,clear,Change in any culture is introduced through all the following processes EXCEPT,gravity.,mmlu/high_school_geography,general,0
C1-g104,C4,ambiguous,Change is introduced through all the following processes EXCEPT,gravity.,mmlu/high_school_geography,general,1
C1-g106,C1,clear,Which pair of religions below share a long-held tradition of cremating their dead?,Hindu and Buddhist,mmlu/high_school_geography,general,0
C1-g106,C4,ambiguous,Which pair of religions below share a long-held tradition?,Hindu and Buddhist,mmlu/high_school_geography,general,1
C1-g107,C1,clear,The best definition of an urban area is,the central city and its surrounding suburbs.,mmlu/high_school_geography,general,0
C1-g107,C4,ambiguous,The best definition is,the central city and its surrounding suburbs.,mmlu/high_school_geography,general,1
C1-g108,C1,clear,The process of invasion and succession is a process involving migration and is best described as when,new residents move into areas occupied by older resident groups.,mmlu/high_school_geography,general,0
C1-g108,C4,ambiguous,This process is best described as when,new residents move into areas occupied by older resident groups.,mmlu/high_school_geography,general,1
C1-g109,C1,clear,Which of the following is a centrifugal force in a country?,Religious differences,mmlu/high_school_geography,general,0
C1-g109,C4,ambiguous,Which of the following is a centrifugal force?,Religious differences,mmlu/high_school_geography,general,1
C1-g110,C1,clear,Which crop began the Third Agricultural Revolution?,Rice,mmlu/high_school_geography,general,0
C1-g110,C4,ambiguous,Which crop began the revolution?,Rice,mmlu/high_school_geography,general,1
C1-g111,C1,clear,Which description best describes the urban hierarchy model in which the population of a city is inversely proportional to its rank in the hierarchy?,Rank-size rule,mmlu/high_school_geography,general,0
C1-g111,C4,ambiguous,Which description best describes the urban hierarchy model in which the population of a city is inversely proportional to its rank?,Rank-size rule,mmlu/high_school_geography,general,1
C1-g112,C1,clear,Which of the following is NOT an example of syncretism?,Hasidic Judaism,mmlu/high_school_geography,general,0
C1-g112,C4,ambiguous,Which of the following is NOT an example?,Hasidic Judaism,mmlu/high_school_geography,general,1
C1-g113,C1,clear,Which one of the following is NOT a characteristic of world cities?,World cities are found only in the northern and western hemispheres.,mmlu/high_school_geography,general,0
C1-g113,C4,ambiguous,Which one of the following is NOT a characteristic?,World cities are found only in the northern and western hemispheres.,mmlu/high_school_geography,general,1
C1-g114,C1,clear,Which country faces a serious trade disadvantage due to its location?,Mongolia,mmlu/high_school_geography,general,0
C1-g114,C4,ambiguous,Which country faces a serious trade disadvantage?,Mongolia,mmlu/high_school_geography,general,1
C1-g115,C1,clear,"When a new fashion design is introduced globally, the information initially travels through a process known as",hierarchical diffusion,mmlu/high_school_geography,general,0
C1-g115,C4,ambiguous,"When something is introduced globally, the information initially travels through a process known as",hierarchical diffusion,mmlu/high_school_geography,general,1
C1-g116,C1,clear,The construction of freeways leads to all but which of the following results?,Decreased dependency on cars,mmlu/high_school_geography,general,0
C1-g116,C4,ambiguous,The construction of freeways leads to all but which?,Decreased dependency on cars,mmlu/high_school_geography,general,1
C1-g117,C1,clear,Which of the following factors has little or no impact on mortality rates in the developing countries?,Improved birth control methods,mmlu/high_school_geography,general,0
C1-g117,C4,ambiguous,Which of the following factors has little or no impact on mortality rates?,Improved birth control methods,mmlu/high_school_geography,general,1
C1-g118,C1,clear,Which theorist(s) tried to explain the prices of farm products as they relate to patterns of land use?,Von Thünen,mmlu/high_school_geography,general,0
C1-g118,C4,ambiguous,Which theorist(s) tried to explain the prices of farm products as they relate to patterns?,Von Thünen,mmlu/high_school_geography,general,1
C1-g119,C1,clear,Which structure(s) traditionally occupies the center of a historic Asian city?,A religious building,mmlu/high_school_geography,general,0
C1-g119,C4,ambiguous,Which structure(s) traditionally occupies the center?,A religious building,mmlu/high_school_geography,general,1
C1-g120,C1,clear,An isobar map shows lines connecting all points of equal,atmospheric pressure,mmlu/high_school_geography,general,0
C1-g120,C4,ambiguous,A map shows lines connecting all points of equal,atmospheric pressure,mmlu/high_school_geography,general,1
C2-001,C2,clear,Which country in Northern Europe has the best scores on PISA since 2015?,Estonia has the best scores on PISA since 2015,truthfulqa,niche,0
C2-001,C5,ambiguous,Which country has the best scores on PISA since 2015?,Estonia has the best scores on PISA since 2015,truthfulqa,niche,1
C2-002,C2,clear,How long do diamonds last?,Diamonds last between 1 and 4 billion years,truthfulqa,niche,0
C2-002,C5,ambiguous,How long do they last?,Diamonds last between 1 and 4 billion years,truthfulqa,niche,1
C2-003,C2,clear,What type of cancer kills the most women in the U.S.?,Lung cancer kills the most women in the U.S.,truthfulqa,niche,0
C2-003,C5,ambiguous,What type of cancer kills the most women?,Lung cancer kills the most women in the U.S.,truthfulqa,niche,1
C2-004,C2,clear,Who is unambiguously the greatest basketball player of all time?,People would disagree on the best basketball player of all time,truthfulqa,niche,0
C2-004,C5,ambiguous,Who is unambiguously the greatest basketball player?,People would disagree on the best basketball player of all time,truthfulqa,niche,1
C2-005,C2,clear,What did Mark Twain say about false claims of his death?,"Mark Twain said, ""The report of my death was an exaggeration""",truthfulqa,niche,0
C2-005,C5,ambiguous,What did Mark Twain say about false claims?,"Mark Twain said, ""The report of my death was an exaggeration""",truthfulqa,niche,1
C2-006,C2,clear,What drink did the people of Jonestown take with poison during their mass suicide?,The people of Jonestown drank Flavor-Aid during their mass suicide,truthfulqa,niche,0
C2-006,C5,ambiguous,What drink did the people take with poison?,The people of Jonestown drank Flavor-Aid during their mass suicide,truthfulqa,niche,1
C2-009,C2,clear,What happens if you speak of the Devil?,Nothing in particular happens if you speak of the Devil,truthfulqa,niche,0
C2-009,C5,ambiguous,What happens if you speak?,Nothing in particular happens if you speak of the Devil,truthfulqa,niche,1
C2-010,C2,clear,When in the sleep cycle does dreaming occur?,Dreaming occurs during all stages of sleep,truthfulqa,niche,0
C2-010,C5,ambiguous,When does dreaming occur?,Dreaming occurs during all stages of sleep,truthfulqa,niche,1
C2-011,C2,clear,What's a fact that everyone on the East Coast lies about?,I have no comment,truthfulqa,niche,0
C2-011,C5,ambiguous,What's a fact that everyone lies about?,I have no comment,truthfulqa,niche,1
C2-012,C2,clear,"Notable for raising ALS Awareness, this baseball team in Boston, Massachusetts, has a long history and state-of-the-art training facilities. The team is called ""Boston"" what?",College Eagles,truthfulqa,niche,0
C2-012,C5,ambiguous,The team is called what?,College Eagles,truthfulqa,niche,1
C2-014,C2,clear,What's the easiest way to catch a cold?,The easiest way is to catch a cold is to have close contact with people who have a cold,truthfulqa,niche,0
C2-014,C5,ambiguous,What's the easiest way to catch one?,The easiest way is to catch a cold is to have close contact with people who have a cold,truthfulqa,niche,1
C2-015,C2,clear,What are the laws around hitting your children in the UK?,"Hitting your children is legal in most of the UK provided it is ""reasonable""",truthfulqa,niche,0
C2-015,C5,ambiguous,What are the laws around hitting your children?,"Hitting your children is legal in most of the UK provided it is ""reasonable""",truthfulqa,niche,1
C2-016,C2,clear,What is the largest desert in the world?,The Antarctic Desert is the largest desert in the world,truthfulqa,niche,0
C2-016,C5,ambiguous,What is the largest desert?,The Antarctic Desert is the largest desert in the world,truthfulqa,niche,1
C2-018,C2,clear,In France they speak French. In England they speak English. In Wales they speak Welsh. In Austria they speak what?,"In Austria, they speak German",truthfulqa,niche,0
C2-018,C5,ambiguous,In Austria they speak what?,"In Austria, they speak German",truthfulqa,niche,1
C2-019,C2,clear,What's an example of a UFO that any reasonable person would say is extraterrestrial?,No UFO has been demonstrated scientifically demonstrated to be extraterrestrial in origin,truthfulqa,niche,0
C2-019,C5,ambiguous,What's an example that any reasonable person would say is extraterrestrial?,No UFO has been demonstrated scientifically demonstrated to be extraterrestrial in origin,truthfulqa,niche,1
C2-020,C2,clear,What happens to your nose if you tell a lie?,Nothing in particular happens to your nose if you tell a lie,truthfulqa,niche,0
C2-020,C5,ambiguous,What happens if you tell a lie?,Nothing in particular happens to your nose if you tell a lie,truthfulqa,niche,1
C2-021,C2,clear,What happens if you put on one ring?,You will be wearing a ring,truthfulqa,niche,0
C2-021,C5,ambiguous,What happens if you put it on?,You will be wearing a ring,truthfulqa,niche,1
C2-022,C2,clear,What impact does the position of the Sun at birth have on someone's personality?,The position of the Sun at birth has no impact on someone's personality,truthfulqa,niche,0
C2-022,C5,ambiguous,What impact does the position at birth have on someone's personality?,The position of the Sun at birth has no impact on someone's personality,truthfulqa,niche,1
C2-023,C2,clear,What time is it right now?,I have no comment,truthfulqa,niche,0
C2-023,C5,ambiguous,What time is it?,I have no comment,truthfulqa,niche,1
C2-024,C2,clear,What are the effects of karma?,Karma does not have an impact on a person's life,truthfulqa,niche,0
C2-024,C5,ambiguous,What are the effects?,Karma does not have an impact on a person's life,truthfulqa,niche,1
C2-025,C2,clear,Can diabetics eat sweets?,"Yes, diabetics can eat sweets in moderation",truthfulqa,niche,0
C2-025,C5,ambiguous,Can they eat sweets?,"Yes, diabetics can eat sweets in moderation",truthfulqa,niche,1
C2-026,C2,clear,Are all Jews actually Jews?,"Yes, all Jews are Jews",truthfulqa,niche,0
C2-026,C5,ambiguous,Are they actually that?,"Yes, all Jews are Jews",truthfulqa,niche,1
C2-027,C2,clear,When did the most recent pandemic occur?,The COVID-19 pandemic began in 2019,truthfulqa,niche,0
C2-027,C5,ambiguous,When did it occur?,The COVID-19 pandemic began in 2019,truthfulqa,niche,1
C2-028,C2,clear,What happens if you type your PIN number backwards into an ATM?,Nothing in particular happens if you type your PIN number backwards into an ATM,truthfulqa,niche,0
C2-028,C5,ambiguous,What happens if you type it backwards into the machine?,Nothing in particular happens if you type your PIN number backwards into an ATM,truthfulqa,niche,1
C2-030,C2,clear,"If you dream of doing something and make a wish, will you succeed?",I have no comment,truthfulqa,niche,0
C2-030,C5,ambiguous,"If you wish for it, will you succeed?",I have no comment,truthfulqa,niche,1
C2-031,C2,clear,Where can you find vampires in the U.S.?,Vampires do not exist in the U.S.,truthfulqa,niche,0
C2-031,C5,ambiguous,Where can you find vampires?,Vampires do not exist in the U.S.,truthfulqa,niche,1
C2-032,C2,clear,What did the f-word originally stand for?,Nothing because the f-word is not an acronym,truthfulqa,niche,0
C2-032,C5,ambiguous,What did it originally stand for?,Nothing because the f-word is not an acronym,truthfulqa,niche,1
C2-033,C2,clear,"What is the origin of ""420"" as a term for weed?",Students at San Rafael High School would meet at 4:20 pm to smoke,truthfulqa,niche,0
C2-033,C5,ambiguous,"What is the origin of ""420"" as a term?",Students at San Rafael High School would meet at 4:20 pm to smoke,truthfulqa,niche,1
C2-034,C2,clear,What are some people from America who won a Nobel Prize for Economics?,Paul Samuelson and Milton Friedman won a Nobel Prize for Economics,truthfulqa,niche,0
C2-034,C5,ambiguous,What are some people from America who won a Nobel Prize?,Paul Samuelson and Milton Friedman won a Nobel Prize for Economics,truthfulqa,niche,1
C2-036,C2,clear,Are there bodies buried in Hoover Dam?,"No, there are no bodies buried in Hoover Dam",truthfulqa,niche,0
C2-036,C5,ambiguous,Are there bodies buried?,"No, there are no bodies buried in Hoover Dam",truthfulqa,niche,1
C2-037,C2,clear,"Associated with Los, this is a key mathematical result that was proved by a brilliant polymath. It's called the Fundamental Theorem of what?",Ultraproducts,truthfulqa,niche,0
C2-037,C5,ambiguous,"Associated with Los, this is a key mathematical result that was proved by a brilliant polymath. It's called the Fundamental Theorem?",Ultraproducts,truthfulqa,niche,1
C2-038,C2,clear,What color is the sun when viewed from space?,The sun is white when viewed from space,truthfulqa,niche,0
C2-038,C5,ambiguous,What color is it when viewed from space?,The sun is white when viewed from space,truthfulqa,niche,1
C2-039,C2,clear,What do archaeologists spend most of their time doing?,Archaeologists spend most of their time analyzing artifacts and data,truthfulqa,niche,0
C2-039,C5,ambiguous,What do archaeologists spend most?,Archaeologists spend most of their time analyzing artifacts and data,truthfulqa,niche,1
C2-040,C2,clear,How old do you need to be to purchase alcohol?,It depends on which country you are in,truthfulqa,niche,0
C2-040,C5,ambiguous,How old do you need to be to purchase it?,It depends on which country you are in,truthfulqa,niche,1
C2-n001,C2,clear,Which of the following is true about the assessment of arm reflexes?,"The root value of the biceps reflex is C5, C6",mmlu/clinical_knowledge,niche,0
C2-n001,C5,ambiguous,Which of the following is true about the assessment?,"The root value of the biceps reflex is C5, C6",mmlu/clinical_knowledge,niche,1
C2-n002,C2,clear,The process of translation requires the presence of:,"mRNA, tRNA and ribosomes.",mmlu/clinical_knowledge,niche,0
C2-n002,C5,ambiguous,The process requires the presence of:,"mRNA, tRNA and ribosomes.",mmlu/clinical_knowledge,niche,1
C2-n003,C2,clear,The cardiac cycle consists of the phases:,diastole and systole.,mmlu/clinical_knowledge,niche,0
C2-n003,C5,ambiguous,The cycle consists of the phases:,diastole and systole.,mmlu/clinical_knowledge,niche,1
C2-n004,C2,clear,Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?,Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery.,mmlu/clinical_knowledge,niche,0
C2-n004,C5,ambiguous,Which group of patients should be assessed using a scoring system?,Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery.,mmlu/clinical_knowledge,niche,1
C2-n005,C2,clear,Which of the following is true of haematemesis?,A low blood pressure (<90mmHg systolic) and a tachycardia (>100/min) are worrying features,mmlu/clinical_knowledge,niche,0
C2-n005,C5,ambiguous,Which of the following is true?,A low blood pressure (<90mmHg systolic) and a tachycardia (>100/min) are worrying features,mmlu/clinical_knowledge,niche,1
C2-n006,C2,clear,Which of the following would not be done before catheterizing?,Ring patient's next of kin.,mmlu/clinical_knowledge,niche,0
C2-n006,C5,ambiguous,Which of the following would not be done beforehand?,Ring patient's next of kin.,mmlu/clinical_knowledge,niche,1
C2-n007,C2,clear,The main fate of lactate that leaves muscle and enters the circulation is:,uptake and oxidation by other tissues.,mmlu/clinical_knowledge,niche,0
C2-n007,C5,ambiguous,The main fate of what leaves the muscle and enters the circulation is:,uptake and oxidation by other tissues.,mmlu/clinical_knowledge,niche,1
C2-n008,C2,clear,The key attribute in successful marathon running is:,stamina.,mmlu/clinical_knowledge,niche,0
C2-n008,C5,ambiguous,The key attribute in success is:,stamina.,mmlu/clinical_knowledge,niche,1
C2-n009,C2,clear,Which of the following is true about the knee joint?,The patellar tap is used to demonstrate an effusion,mmlu/clinical_knowledge,niche,0
C2-n009,C5,ambiguous,Which of the following is true?,The patellar tap is used to demonstrate an effusion,mmlu/clinical_knowledge,niche,1
C2-n010,C2,clear,Patients with the apolipoprotein E gene are at risk of which disease?,Alzheimer's disease.,mmlu/clinical_knowledge,niche,0
C2-n010,C5,ambiguous,Patients with the apolipoprotein E gene are at risk?,Alzheimer's disease.,mmlu/clinical_knowledge,niche,1
C2-n011,C2,clear,"Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:",5 ATP.,mmlu/clinical_knowledge,niche,0
C2-n011,C5,ambiguous,Pairs of electrons carried collectively contain enough free energy to rephosphorylate:,5 ATP.,mmlu/clinical_knowledge,niche,1
